sg,sgNumber,cleaned_formula
P 4/m m m,123.0,BaMg4Ge3
C m c e,64.0,CICl2F3
P c c a,54.0,Cu6H2C7N8
P 21 21 21,19.0,UP3O8
P b c a,61.0,SmCuTeS
I 4/m m m,139.0,Zr2CuH20C44(N5F3)4
P n m a,62.0,H10PbC10
P n a 21,33.0,H8RhC10S2NO2
P c a 21,29.0,CuH19C17N3Cl4O
I 41 c d,110.0,ZrP2(HO4)2
P -4 2 c,112.0,AlCuBr4
P n a 21,33.0,AlCuCl4
P 21 21 21,19.0,InAsH20C6(Se2N3)2
P b c a,61.0,CuH11C11N6
P 1 21/c 1,14.0,SrTh2Se5
P 21 21 21,19.0,ReH23C24N2O5
P b c n,60.0,CoH20C14S2N2(ClO)2
P 21 21 21,19.0,BH19PtC9O5F4
P m c n,62.0,U2H24C37(Cl3O16)2
P 42/m n m,136.0,H7AuC6I2N
P b c a,61.0,AgH8C10(NO)3
I -4 2 d,122.0,CIF5
P 41 21 2,92.0,AgBH8C8(NF)4
P c a b,61.0,Co2P2O11
P n m a,62.0,LaAs3H2F20
P b c n,60.0,B5H4CF2
P n a 21,33.0,MnH16C17N5O2
P n a 21,33.0,AgB11H14(CBr)10
F m m m,69.0,B12H9C3Br12N
P n m a,62.0,H12C11O2
P n n a,52.0,Sr3(GaN2)2
P 21 21 21,19.0,CrCoH9C16O5
P 21 21 21,19.0,H13OsC14S4NCl2
P n a 21,33.0,Mo2H10C16SeO8
P 21 21 2,18.0,CoH22C5S2N5O6
P 21 21 21,19.0,AsH12C12NCl2
P 21 21 21,19.0,SbH12C12NCl2
C 2 2 21,20.0,TiH22(C7N5)2
P -4 21 c,114.0,H25WC12(NCl)2
P 4/n n c :2,126.0,K8Tl10Zn
P n m a,62.0,SrSn3Sb4
P n a 21,33.0,CrH24C14(NO3)2
P n a 21,33.0,RuNCl5O3
P 4/n c c :2,130.0,ReP2H24C17N8(OF6)2
C m c m,63.0,Ca3SnH2
C m c m,63.0,Ca3H2Pb
I m -3 m,229.0,Zr2C12NCl6
P 21 21 21,19.0,CuH19C13N2ClO7
I 4/m m m,139.0,KCr12Si8BrO28
I 4/m m m,139.0,NaCr12Si8ClO28
I 4/m m m,139.0,NaCr12Si8BrO28
I 4/m m m,139.0,KCr12Si8ClO28
P n m a,62.0,H18PtC7(NCl)2
P 21 21 21,19.0,AgBH8C17(NF3)6
P n m a,62.0,AgBH4C17(NF3)6
P b c m,57.0,H15PtC24N4O
P 21 21 21,19.0,H9Ru3C16SNO10
I -4,82.0,CuH11C8SN2
P b a 2,32.0,FeBi2H32C24N2(Cl3O2)2
P 4/m b m,127.0,Zr9(NiP2)2
P 21 21 21,19.0,KY(PSe3)2
P 21 21 21,19.0,FeB2H22C18N6(OF)4
P n m a,62.0,Ba2(SnSb2)3
P b c a,61.0,MnH20C18(ClO4)2
P n n 2,34.0,TiSb2H30C17(Cl2O)8
P 21 21 21,19.0,MoH24C14NCl2
P n m a,62.0,B2H24PdC12(SeF2)4
P 21 21 2,18.0,B2P4H42PtC48N2(OF4)2
P n m a,62.0,B5H9N
P c c n,56.0,CoH4S(NO2)2
P c c n,56.0,MnH4S(NO2)2
I 4/m c m,140.0,FeH12(C11N3)2
I 41/a :2,88.0,PH6C4NO2
P m n 21,31.0,GaH21C7N2
I 2 2 2,23.0,H28PdC20S2N12(ClO)2
P 4/n m m :2,129.0,NpCuPO
P 4/n m m :2,129.0,UCuPO
P n a 21,33.0,Nb2S3O14
P b a 2,32.0,Re2S2O13
P b c m,57.0,Re2S2O13
P n a 21,33.0,H13C12(NO2)3
P n a 21,33.0,H13C12(NO2)3
P 21 21 21,19.0,CuH22C23N3
P n m a,62.0,Na6Co3B2P5ClO22
P n a 21,33.0,TcC16N4O3
P n m a,62.0,Zn3(SnRu)2
P n m a,62.0,Np3S5
P n m a,62.0,Np3Se5
P 21 21 21,19.0,CoH25Au3C12(N9O2)2
I 4/m,87.0,ReH20C12N6Cl
I 4/m,87.0,ReH16C10N6Cl
P b c n,60.0,Mg6H12C14NO24
P b c a,61.0,ReH11C11N2O5
P n a 21,33.0,H19RuC25N4ClO3
P 21 21 21,19.0,VH18C9S2N2O
P c c n,56.0,ThH14C10N2O13
P n a 21,33.0,RbGeB3O7
P 21 21 21,19.0,VH12C14O5
P 21 21 21,19.0,VH10C14O5
P 42/n n m :2,134.0,K2TbH12Pt2AuC10(N5O3)2
P n m a,62.0,Ba2FeSbS5
P n m a,62.0,Ba2FeBiS5
I 4/m m m,139.0,EuC2
F m -3 m,225.0,EuC2
P c a 21,29.0,HC6SeSN2F3
P m n 21,31.0,C2SN2
C m c m,63.0,La4P9Rh8
P b c a,61.0,HCN5
P c a 21,29.0,FeB2H21C21N5OF8
P 21 21 21,19.0,H22C23(NO)2
P 2 2 2,16.0,MnZn2H62C72N3ClO10
P b a m,55.0,CuH12C18N2O5
C m c m,63.0,B3H12N
P n m a,62.0,RbH4CN3
C m c 21,36.0,RbO2
P n a 21,33.0,CoH17C23NO5F6
P n a 21,33.0,MnH17C23NO5F6
P 1,1.0,Fe2H36C38S12N4O21
P 21 21 21,19.0,H17C11N4O
I 4/m,87.0,H36Pt2C20S8I
P 21 21 21,19.0,H15C11NO2
P 21 21 21,19.0,H17C12NO3
P 21 21 21,19.0,LaH21C14Br3N7
P b c a,61.0,Bi2B3HO8
P 21 21 2,18.0,H7C10SN3ClF3
P 41 21 2,92.0,H7C7SN2ClO2
I -4,82.0,MnCo4H40C46(N3O)2
P n a 21,33.0,H22RuC14(NCl)2
P n a 21,33.0,KNp3Cl4O7
I 4/m m m,139.0,YbC2
P 4/m b m,127.0,Zn2SnH24C42(NO)8
F d d d :2,70.0,Pu(SO6)2
P n m a,62.0,Ba2GaBiS5
C m c 21,36.0,Ba2InBiS5
F d -3 m :2,227.0,Cs2Ge(TeO4)3
F d -3 m :2,227.0,Cs(TeO3)2
P n a 21,33.0,FeH25C25N5ClO6
P 4/n m m :1,129.0,NiSbH9C8(NF2)4
P -4 21 c,114.0,Eu4C2N4F5
C m c 21,36.0,Cs2U(Si2O5)3
P 21 21 21,19.0,H7C11Br2N
F m -3 m,225.0,Na6Cd16Au7
P n a 21,33.0,ReH21C17N4(Cl2O)2
I 41/a :2,88.0,Sn2H2C5(O2F3)2
I m m m,71.0,CoH2C4N9
P n a 21,33.0,H16PdC13S2Cl2O3
I 4/m m m,139.0,Zn2Ni21B20
P n n 2,34.0,ZnCr2H34C41(N3Cl)4
C m c 21,36.0,Ca2CdP2
C m c 21,36.0,Ca2CdAs2
C m c 21,36.0,Sr2CdAs2
C m c 21,36.0,Ba2CdAs2
C m c 21,36.0,Eu2CdAs2
P 1 21/c 1,14.0,FeH12(C2O)6
P 4/m m m,123.0,CsCd4As3
P 4/m m m,123.0,CsZn4As3
P 4/m m m,123.0,CsZn4P3
P 4/m m m,123.0,RbZn4As3
P 4/m m m,123.0,RbZn4P3
P n a 21,33.0,LaH5C7(NO5)2
P n a 21,33.0,CeH5C7(NO5)2
P n a 21,33.0,PrH5C7(NO5)2
P n a 21,33.0,NdH5C7(NO5)2
P n a 21,33.0,SmH5C7(NO5)2
P n a 21,33.0,EuH5C7(NO5)2
P n a 21,33.0,GdH5C7(NO5)2
P b c n,60.0,As3PWC5S3O5
P 21 21 21,19.0,FeH21C22S2N7
P n m a,62.0,ThH2SO6
P b c m,57.0,SrCuTe2O7
P b c m,57.0,CuTe2PbO7
P n m a,62.0,K4Cu(MoO4)3
P n m a,62.0,K4Zn(MoO4)3
P -4,81.0,Cd12Ge17(B4O29)2
P m n 21,31.0,AlP3(NCl3)3
P n m a,62.0,BHBrN
P 21 21 21,19.0,LaSb2H4C8NO21
P 21 21 21,19.0,CeSb2H4C8NO21
P 21 21 21,19.0,PrSb2H4C8NO21
P 21 21 21,19.0,NdSb2H4C8NO21
P 21 21 21,19.0,SmSb2H4C8NO21
P 21 21 21,19.0,EuSb2H4C8NO21
P 21 21 21,19.0,GdSb2H4C8NO21
P 21 21 21,19.0,TbSb2H4C8NO21
P 21 21 21,19.0,DySb2H4C8NO21
P 21 21 21,19.0,HoSb2H4C8NO21
P 21 21 21,19.0,ErSb2H4C8NO21
P 21 21 21,19.0,TmSb2H4C8NO21
P 21 21 21,19.0,YbSb2H4C8NO21
P 21 21 21,19.0,LuSb2H4C8NO21
P 21 21 21,19.0,YSb2H4C8NO21
P 21 21 21,19.0,AgH10C12N7O3
I -4,82.0,SnH12C9N2
I 41/a c d :2,142.0,NpPS4
I 41/a :2,88.0,Np(PS3)4
P 21 21 21,19.0,CsH21(C7O)3
P n m a,62.0,Fe2H20C24O
P 21 21 21,19.0,H23PtC9N3O5
C 2 2 21,20.0,Mn2H22C10O13
P 1 21/c 1,14.0,MnH18C19Br2N5O2
P 1 21/n 1,14.0,FePH10C8SOF6
I a -3,206.0,Sc2O3
I a -3,206.0,Sc2O3
C m c a,64.0,Lu5(TeAu)2
P 21 21 21,19.0,ZnH8(C4N3)4
P n m a,62.0,La(ZnAs)3
P m n 21,31.0,CoP(CO2)2
P m n 21,31.0,NiP(CO2)2
P m n 21,31.0,CdP(CO2)2
P m n 21,31.0,FePH3(CO2)2
P m n 21,31.0,ZnPH3(CO2)2
I m m m,71.0,CrB4
P c c n,56.0,ZnH20(C9N2)2
P c c n,56.0,CoH20(C9N2)2
P c c n,56.0,CdH20(C9N2)2
P -4 21 m,113.0,BH23C13N5
P m c 21,26.0,CsTh3F13
P m c 21,26.0,RbTh3F13
P n m a,62.0,RbTh2F9
P n n m,58.0,H36RuC48S2(N2O3)2
P 21 21 21,19.0,TiH24C10N4Cl2O
P n m a,62.0,Mn2PHO3F2
P 21 21 21,19.0,H10C12SNO
P 21 21 21,19.0,Bi2I4O13
C m c 21,36.0,La2Ga2GeS8
P -4 21 m,113.0,Eu2Ga2GeS7
I b a 2,45.0,ReNiH6C8Br2N4(Cl2O)2
P b c a,61.0,AsSXeNF10
P b c a,61.0,H7C4NClO
P n m a,62.0,AgB2H22AuC20(N3F4)2
C m c m,63.0,CsSmMnSe3
C m c m,63.0,CsGdMnSe3
P n m a,62.0,KCu2C2BrN2O
I 4/m c m,140.0,Ce10Ga5Cl4
I 4/m c m,140.0,La3Ga4Cl
I 4/m c m,140.0,Ce3Ga4Cl
P 4/m b m,127.0,Na2Mo6C42NO34
I 4/m,87.0,Co2WC8(NO)8
C m c a,64.0,Co3W2C16(N8O5)2
P 21 21 21,19.0,Al2H24C10S2NClO
P 21 21 21,19.0,CuH14C10(NO4)2
P b c m,57.0,CuP2H23C18N5F12
P 21 21 21,19.0,CoH16C8S2N2ClO5
I -4 2 d,122.0,MnAs2F12
C m c 21,36.0,La4Mg5Ge6
P b c a,61.0,Al4Co2P6C5(NO12)2
P b c a,61.0,Al4Zn2P6C5(NO12)2
P c a 21,29.0,FeH16C17N2
P n a m,62.0,Ba2ZnS3
P 4/n m m :2,129.0,BaCoS2
P 21 21 21,19.0,PrH14C4(NO5)3
P 21 21 21,19.0,CeH14C4(NO5)3
P n a 21,33.0,BiRhC8(O2F3)4
P n m a,62.0,Ca2V2(SeO5)3
P n m a,62.0,BaV2SeO8
P n m a,62.0,LiLaGe2
P n m a,62.0,LiCeGe2
P n m a,62.0,LiPrGe2
P n m a,62.0,LiNdGe2
P n m a,62.0,LiSmGe2
P n m a,62.0,LiEuGe2
P n m a,62.0,CuH6C8S3IN4
P b c m,57.0,AlH10C4Cl3O2
P 21 21 21,19.0,H11C15S4NO4
P 21 21 21,19.0,SnH24C12INO3
F d d 2,43.0,LiGa(GeSe3)2
I c m m,74.0,Sr2ScGaO5
P n a 21,33.0,ZnH24C20S2(N5O2)2
P n a 21,33.0,ZnH24C20S2(N5O2)2
P n a 21,33.0,ZnH24C20S2(N5O2)2
P 21 21 2,18.0,LaZn4H16C32(N2O3)8
P 21 21 2,18.0,PrZn4H16C32(N2O3)8
P 21 21 2,18.0,EuZn4H16C32(N2O3)8
P 21 21 2,18.0,GdZn4H16C32(N2O3)8
P 21 21 2,18.0,TbZn4H16C32(N2O3)8
P c a 21,29.0,NiGe7H12C8N3O19
P 21 21 21,19.0,AgH8C4SNO2
P 21 21 21,19.0,B10H14S
P 21 21 21,19.0,B10H14S
C 2 2 21,20.0,NaSmH12(CO)12
C 2 2 21,20.0,NaSmH16(C3O2)6
C 2 2 21,20.0,NaEuH12(CO)12
C 2 2 21,20.0,NaEuH16(C3O2)6
C 2 2 21,20.0,NaGdH12(CO)12
C 2 2 21,20.0,NaGdH16(C3O2)6
C 2 2 21,20.0,NaTbH12(CO)12
C 2 2 21,20.0,NaTbH16(C3O2)6
C 2 2 21,20.0,NaDyH12(CO)12
C 2 2 21,20.0,NaDyH16(C3O2)6
C 2 2 21,20.0,NaHoH12(CO)12
C 2 2 21,20.0,NaHoH16(C3O2)6
C 2 2 21,20.0,NaErH12(CO)12
C 2 2 21,20.0,NaErH16(C3O2)6
C 2 2 21,20.0,NaYbH12(CO)12
C 2 2 21,20.0,NaYbH16(C3O2)6
P b c n,60.0,FeB2H20C12N6(OF)4
P n m a,62.0,RbLaF4
P 41,76.0,Cu2H16C12N16O3
P 43,78.0,Cu2H16C12N16O3
P 41,76.0,CuH8C6N8O
P 41,76.0,CuH8C6IN8O
P 41,76.0,CuH8C6N8O
P 41,76.0,CuH8C6N8O
P 41,76.0,CuH8C6N8O
P 41,76.0,CuH8C6N8O
P 41,76.0,CuH8C6N8O
P 41,76.0,CuH8C6N8O
P 43,78.0,CuH8C6N8O
P b c n,60.0,CsCoB18H20(C2I)2
P c a 21,29.0,B10H11C2I
P b c a,61.0,CsB9H11C2I
P 41,76.0,B5H5CI
A m a 2,40.0,BaMgTe2O7
A m a 2,40.0,BaZnTe2O7
P n a 21,33.0,ReH17C16BrN3O7
P n m a,62.0,TbH23C18
P n m a,62.0,DyH23C18
P n m a,62.0,HoH23C18
P n m a,62.0,Er(H11C9)2
P n m a,62.0,TmH23C18
P n m a,62.0,Y(H11C9)2
C m c m,63.0,Li2Ce2Ge3
I m m m,71.0,Li4Ce3Ge4
C m c m,63.0,Li2La2Ge3
I m m m,71.0,Li4La3Ge4
C m c m,63.0,Li2Nd2Ge3
I m m m,71.0,Li4Nd3Ge4
C m c m,63.0,Li2Pr2Ge3
I m m m,71.0,Li4Pr3Ge4
C m c m,63.0,Li2Sm2Ge3
I m m m,71.0,Li4Sm3Ge4
P 21 21 21,19.0,GaP5H3CCl5
P 21 21 21,19.0,CuH19C23(N3O2)3
P a -3,205.0,Sr3Si2(NO2)2
P -4 21 m,113.0,Sr2MnGe2O7
P -4 21 m,113.0,Sr2MnGe2O7
P -4 21 m,113.0,Sr2CoGe2O7
P -4 21 m,113.0,Sr2ZnGe2O7
I -4,82.0,ZnCu2SnS4
P 21 21 21,19.0,BH24C21S3N7
I -4 2 m,121.0,Rb2SnHgTe4
F m m m,69.0,Cs2U(PtSe2)3
F m m m,69.0,Cs2U(PtS2)3
F m m m,69.0,Cs2U(PdSe2)3
F m m m,69.0,Cs2U(PdS2)3
F m m m,69.0,Rb2U(PtSe2)3
F m m m,69.0,Rb2U(PtS2)3
F m m m,69.0,Rb2U(PdSe2)3
F m m m,69.0,Rb2U(PdS2)3
F m m m,69.0,K2U(PdS2)3
A m a 2,40.0,NaEuAsS4
P b c a,61.0,MgBi4(PO6)2
C m c a,64.0,CsLu7S11
C m c a,64.0,CsLu7Se11
P 21 21 21,19.0,NiH11C5SNO7
P 41,76.0,Ni2H14C10S2N2O11
P 4 n c,104.0,CoH12C4(N10Cl)2
P 4 n c,104.0,CuH12C4(N10Cl)2
P n m a,62.0,K3EuGe3(HO5)2
P 21 21 21,19.0,H8C10N3O
P b c n,60.0,Co2H22C21N3O11
P 42/m m c,131.0,ZnH4(C3N2)2
I m m a,74.0,CuH7C8N5
I m m a,74.0,NiH7C8N5
P 21 21 21,19.0,Ag2S
P n m a,62.0,H9(C4O)2
I 2 2 2,23.0,NdCrH16C20N8(O6F)2
P c a 21,29.0,Zn2H24C23N4Cl2O17
P 4/m m m,123.0,ZnH4C14N3O4
P b a m,55.0,Sr5(SnAs3)2
P b a m,55.0,Eu5(SnAs3)2
P b c n,60.0,Co2H22C16Cl12O13
P n a 21,33.0,Mn2H24C24N11ClO11
F m -3 m,225.0,NiO
F m -3 m,225.0,NiO
P 4/m m m,123.0,Dy5Mg5Al12(Fe2Si3)2
P 4/m m m,123.0,Gd5Mg5Al12(Fe2Si3)2
P 4/m m m,123.0,Y5Mg5Al12(Fe2Si3)2
I -4,82.0,Si5(H2Cl)4
P b c a,61.0,H9C10N3O2
I 4/m,87.0,MoH28C44N4O
P 4/n m m :2,129.0,ErH8WC8(N2O)4
P 4/n m m :2,129.0,ErMoH8C8(N2O)4
P n m a,62.0,BH12C24N6Cl
P 42 n m,102.0,Ba4NaAl2B8(ClO6)3
P c a 21,29.0,FeH25C24
P b c n,60.0,Co2H22C25N18
C m m m,65.0,Li8La7Ge10
C m m m,65.0,Li8Ce7Ge10
C m m m,65.0,Li8Pr7Ge10
C m m m,65.0,Li8Nd7Ge10
C m m m,65.0,Li8Sm7Ge10
C m c 21,36.0,Ba2YInSe5
C m c 21,36.0,Ba2NdInSe5
C m c 21,36.0,Ba2SmInSe5
C m c 21,36.0,Ba2GdInSe5
C m c 21,36.0,Ba2DyInSe5
C m c 21,36.0,Ba2ErInSe5
F d -3 m :1,227.0,Cd(RhO2)2
P m m n :2,59.0,NaNbO3
P n m a,62.0,NaNbO3
P m m n :2,59.0,NaNbO3
C m c a,64.0,U3C4(N3O5)2
P 4/n m m :1,129.0,FeSe
P 2 21 21,18.0,In3H10C7Se5N
P n a 21,33.0,H10PdC9N3ClO2
P n 21 a,33.0,H10PtC9N3ClO2
P n m a,62.0,RbGa2Au3
P n m a,62.0,CsGa2Au3
P b c a,61.0,H11IrC5SO7
P 4/n m m :2,129.0,ThSO
P 4/n m m :2,129.0,ThSeO
P 4/n m m :2,129.0,ThTeO
P n n m,58.0,Cd4Cu7As
P n m a,62.0,GaSbH9(CCl)3
P b c a,61.0,BH12C7SN
P b c a,61.0,BH12C8SN2F5
P 42/m n m,136.0,Ni6H30C31
P 21 21 21,19.0,SmP2(H3O4)2
P 21 21 21,19.0,EuP2(H3O4)2
P b c a,61.0,PuP2(H3O4)2
P b c a,61.0,TcCl4
P 4/n m m :2,129.0,TbAsRuO
P 4/n m m :2,129.0,DyAsRuO
P m m n :2,59.0,DyAsRuO
P 21 21 21,19.0,ZnH24C11(BrN)2
P 21 21 21,19.0,HgH22C10(BrN)2
P a -3,205.0,K2ZnSn3S8
P n m a,62.0,NaIn(SeO3)2
P n m a,62.0,KIn(SeO3)2
P n m a,62.0,RbIn(SeO3)2
P b c a,61.0,NiH9C9(NO3)2
P b c a,61.0,H6RhC6N2ClO2
P n a 21,33.0,H9RhC7I2(NO)2
P n a 21,33.0,PH21OsC25N6OF6
P 4/m m m,123.0,EuCu4P3
I 4/m m m,139.0,Sr2Cu6P5
I 4/m m m,139.0,Eu2Cu6P5
P 4/n m m :2,129.0,TbEuW2C16(N8O5)2
P 4/n m m :2,129.0,EuGdW2C16(N8O5)2
P 4/n m m :2,129.0,TbSmW2C16(N8O5)2
P n m a,62.0,KCoP4F12
C c c 2,37.0,Sb6S2O15
P m m n :2,59.0,MnSiPH43(C5N)4
P 21 21 21,19.0,CuH20C21N2O5F12
P n m a,62.0,US2O13
C m c m,63.0,Rb2Zn5As4
C m c m,63.0,K2Zn5As4
P 43,78.0,Cs3KMn4Bi2P6ClO24
P n n a,52.0,AgH9C7SN4O3
P b c n,60.0,H16AuC11N2ClO4
P b c n,60.0,Na2CdP2H18C4Cl2O11
P 43 21 2,96.0,ZnH12C6N8O
C m m m,65.0,K2P8H12Pt2C4I(NO12)2
C m m m,65.0,K2P8H8Pt2C4I(NO12)2
P b a m,55.0,K2P8H14Pt2C5I(NO12)2
P b a m,55.0,K2P8H8Pt2C4IN2O25
P n n 2,34.0,Rb2P8H12Pt2C3I(NO12)2
P 4 n c,104.0,Rb2P8H10Pt2C4I(NO12)2
P 4 n c,104.0,Rb2P8Pt2C3IN2ClO24
C m m m,65.0,Rb2P8Pt2C4I(NO12)2
P b a m,55.0,Rb2P8H8Pt2C5I(NO12)2
C m m m,65.0,Rb2P8Pt2C4IN2O25
P 21 21 21,19.0,H11C14N3
P n a m,62.0,Mn2P2H6C4SO8
P 21 21 21,19.0,KH14C16NO5
P 21 21 21,19.0,MoPH17C22(NO3)2
P 21 21 21,19.0,TlH8PdC13N3
P 42/n :2,86.0,CuH4C10(N2F7)2
P 42/n :2,86.0,CuH4C10(N2F7)2
P 21 21 21,19.0,CuH17C11BrN3
P m c 21,26.0,Na3Cd3B(PO4)4
P b c n,60.0,AsH8C22I(OF10)2
P 21 21 2,18.0,V2H20C5Se4(NO8)2
P b c n,60.0,VH11C3Se2NO8
P c a 21,29.0,V2H20C5Se4(NO8)2
P 21 21 2,18.0,V2H20C5Se4(NO8)2
P 4/m,83.0,FePdC8(S2N3)2
I 4/m c m,140.0,Ba2PrGaS5
I 4/m c m,140.0,Ba2NdGaS5
C m c a,64.0,CoH10C6O5
I 41 3 2,214.0,La3IrBr3
I 41 3 2,214.0,La3RuBr3
P b c a,61.0,UP2H11C8(NO5)2
C m c 21,36.0,Na2U3P4H8C4O25
P 1 21/n 1,14.0,CeB8ClO20
P n a 21,33.0,AlH15C6NCl3
P n a 21,33.0,AlH15C6Br3N
P n a 21,33.0,AlH15C6Br3N
P n a 21,33.0,AlH15C6Br3N
P n a 21,33.0,AlH15C6Br3N
P n a 21,33.0,AlH15C6Br3N
P n a 21,33.0,AlH15C6Br3N
C m c 21,36.0,Ba2YInTe5
C m c 21,36.0,Ba2DyGaTe5
C m c 21,36.0,Ba2ErGaTe5
C m c 21,36.0,Ba2YGaTe5
C m c 21,36.0,Ba2CeInTe5
C m c 21,36.0,Ba2NdInTe5
C m c 21,36.0,Ba2SmInTe5
C m c 21,36.0,Ba2GdInTe5
C m c 21,36.0,Ba2DyInTe5
C m c 21,36.0,Ba2ErInTe5
P n a 21,33.0,H7C7N3
P n a 21,33.0,BiH10C13S(OF)3
P b n m,62.0,P4H18C17N6(Cl2O)2
P 21 21 21,19.0,P4H18C17N6(Cl2O)2
P 21 21 21,19.0,B2H21(C3N)3
I -4 2 m,121.0,Sr3LaC2N4F5
P 21 21 21,19.0,H12C10N4O
P b c n,60.0,H15C18S2IN2(OF)6
P n m a,62.0,H25C22S2IN4(OF)6
P n a a,56.0,H6C9IN
P n a b,60.0,H8C9BrNO
P n a 21,33.0,H4C9INF2
P c a n,60.0,H4C9INCl2
P 2 21 21,18.0,H5C9INF2
P b c 21,29.0,H5C11NF2
I 4/m,87.0,MnAs8H40Pd12(C8O7)6
I 4/m,87.0,NiAs8H40Pd12(C24O23)2
P n m a,62.0,Ba3Sn(SbSe4)2
P 21 21 21,19.0,MnH7C3NO7
P 21 21 21,19.0,CoH7C3NO7
P 21 21 21,19.0,NiH7C3NO7
P 21 21 21,19.0,ZnH7C3NO7
P 21 21 21,19.0,MgH7C3NO7
P 43,78.0,LaH3CSO7
P 43,78.0,CeH3CSO7
P 43,78.0,PrH3CSO7
P 43,78.0,NdH3CSO7
P 43,78.0,EuH3CSO7
P 41,76.0,LaH3CSO7
P 41,76.0,CeH3CSO7
P 41,76.0,NdH3CSO7
P 41,76.0,EuH3CSO7
P 42/n m c :2,137.0,Ba2ThS6
P 42/n m c :2,137.0,Ba2US6
C m c 21,36.0,BH5NCl
P b c m,57.0,BH4N
P 41,76.0,PrH3CSO7
I 4/m c m,140.0,AgAuF4
P n m a,62.0,AgIrF7
I 4/m,87.0,AgXeF9
F d -3 m :2,227.0,Na3In2Ag
P n m a,62.0,Sc6AgTe2
P n m a,62.0,K2CeAg3Te4
P n m a,62.0,AuXe2F17
C m m m,65.0,FeAu2C4(N2O)2
I 4/m m m,139.0,BaTl3Au
P n m a,62.0,Ba2Tl7Au
P n m a,62.0,MnB2F8
F d d d :2,70.0,BaBe2(BO3)2
C 2 2 21,20.0,Sr5B3BrO9
P n m a,62.0,Sr5B3O9F
P n m a,62.0,BSF7
P -4 21 m,113.0,BNF8
P n n 2,34.0,Eu2B5BrO9
P 42/n m c :2,137.0,ZnB8(H2N)4
P 42/n :1,86.0,Eu(BIr)4
P n m a,62.0,B4PF9
P21/m(\a0\g)0s,,CsSnPS4
P 21 21 21,19.0,ZnCoH23C21N4(Cl2O3)2
C m c m,63.0,CoNiH16(C3N2)6
P n a 21,33.0,H7C2IN6
C m c m,63.0,LaNi3B
P b c a,61.0,AsC2S3N(ClF2)3
P n a 21,33.0,CaP2Xe5F22
P n a 21,33.0,CdP2Xe5F22
P n n m,58.0,Dy6I8O41
P n n m,58.0,Eu6I8O41
P n n m,58.0,Nd6I8O41
P n n m,58.0,Tb6I8O41
I m m a,74.0,VC14O5
P 21 21 21,19.0,H8C9NO2
P c c n,56.0,BaSn2S5
P 4/n :2,85.0,NiH10(C3S2)2
P 4/n :2,85.0,H10Pd(C3S2)2
P 21 21 2,18.0,P3H34RhC37N2Cl2OF6
P b c n,60.0,UH6C7SO8
P b c a,61.0,Sr4GaN3O
P 43 2 2,95.0,EuH3C9O7
P 21 21 21,19.0,GaH16C11I3(NO)2
P 21 21 21,19.0,GaH16C11Br3(NO)2
C m c m,63.0,RbCS(OF)3
P 21 21 21,19.0,AgPH16C12S2OF6
P 21 21 21,19.0,FePH11C2N2(OF)3
I 4/m,87.0,CoH30(C12N)4
P b c a,61.0,PH11C4ClO3
P n m a,62.0,Co2H6C6N9Cl
P c a 21,29.0,Hg2H7C2SI4NO
P n m a,62.0,BH19PtC20IN3F4
P 43 21 2,96.0,CuH8C12S4(NCl2)2
P c a 21,29.0,AgBH12C9S2(NF)4
C m c m,63.0,MnGa2H24C6(S2N3)2
C m c m,63.0,Ga2CoH24C6(S2N3)2
C m c m,63.0,Ga2NiH24C6(S2N3)2
P b c n,60.0,MnH12(C3N2)6
I m m m,71.0,K(USe3)2
P 21 21 21,19.0,H17C11(N2O)2
P 21 21 21,19.0,H22C19S3O2
C m c 21,36.0,FeH12C22Se4S12(Br2O)2
P c a 21,29.0,P4H23Ru2C7N2O15
P 21 21 2,18.0,H10C14S7N
P 21 21 21,19.0,Cu3H20WC17(SN)3
I -4 2 d,122.0,Cu6H20WC20Se4(IN)4
P 4/m m m,123.0,TbIn5Rh
P m -3 m,221.0,K3(Mg10In7)2
P n a 21,33.0,ZnH18C22N2O7
P m c 21,26.0,CsH15C7(NO4)2
P 41,76.0,LiH8C7N4ClO4
I -4 3 m,217.0,Ge2H9C3N
P -4 3 n,218.0,Ge4H9Pb4(C3N)4
I -4 3 m,217.0,Sn2H9C3N
F -4 3 m,216.0,CuAg3SnP10
F -4 3 m,216.0,Cu4SnP10
P a -3,205.0,CsEr13(CoI12)2
I 4/m,87.0,MoH20C12N6Cl
C m c m,63.0,V4CoH4C4(NO5)2
C m c m,63.0,V4NiH4C4(NO5)2
C m c m,63.0,V4ZnH4C4(NO5)2
P b c n,60.0,NaHgH6C2SNClO3
P 21 c a,29.0,H9C10N3
P b n b,56.0,Bi2O3
P c c n,56.0,Zn3P4H20C13(NO6)2
P c c n,56.0,Zn2P2H22C13N2O9
P n m a,62.0,Zn2P2H22C19N2O7
P 21 21 21,19.0,SrH2(CO2)2
P 43 21 2,96.0,CaH2(CO2)2
P -4 21 c,114.0,ZnH4C7NO6
P b c n,60.0,CuH8C12BrN3O2
P b c n,60.0,CuH8C12IN3O2
P m n 21,31.0,P2H24WC16(N3O2)2
P b c a,61.0,H10PtC10(N2Cl)2
P m n 21,31.0,K7Ge2H24Ru4W20(C3O11)8
P b c a,61.0,CuH8C6N2Cl
